Sub_ID,Study_ID,Lang_Group,Dom_Lang,Age_Days,Age_Months,Sex,Mat_Edu_Years,Lang_Exp_Eng,Lang_Exp_Fr,Lang_Exp_Other,Other_Lang,Eng_CDI_Filled_By,Fr_CDI_Filled_By,Visit_Num,TotalNW_Eng,TotalNW_Fr,Total_Vocabulary,Total_Conceptual_Vocabulary,Total_Number_TEs,Prop_TEs
1001,S01,Trilingual,French,773,25,M,13,37,39,24,Arabic,Mother,Mother,1,18,44,62,46,16,0.516129032
1002,S24,Bilingual,English,815,26,M,15,71.91,28.1,0,NA,NA,NA,1,123,3,126,124,2,0.031746032
1003,S121,Bilingual,English,640,21,F,18,63.5,36.5,0,NA,Mother,Mother,1,94,32,126,103,23,0.365079365
1003,S122,Bilingual,English,828,27,F,18,69.26,30.74,0,NA,NA,NA,2,486,79,565,494,71,0.251327434
1004,S41,Bilingual,English,800,26,M,16,59.58,40.43,0,NA,NA,NA,1,363,168,531,386,145,0.54613936
1005,S123,Bilingual,English,632,20,M,18,54.5,45.5,0,NA,Mother,Mother,1,90,55,145,113,32,0.44137931
1006,S42,Bilingual,French,813,26,M,16,27,73,0,NA,NA,NA,1,63,189,252,196,56,0.444444444
1007,S124,Bilingual,English,810,26,M,18,66.23,33.78,0,NA,NA,NA,1,464,169,633,482,151,0.477093207
1008,S25,Bilingual,English,624,20,F,15,52,48,0,NA,NA,NA,1,598,206,804,626,178,0.44278607
1009,S11,Bilingual,English,619,20,M,13,61.82,38.19,0,NA,Father,Father,1,57,17,74,64,10,0.27027027
1010,S204,Bilingual,English,641,21,M,21,55,45,0,NA,Mother,Mother,1,31,28,59,43,16,0.542372881
1010,S205,Bilingual,English,818,26,M,21,57,42,0,NA,NA,NA,2,77,58,135,104,31,0.459259259
1011,S43,Bilingual,French,639,21,M,16,26,74,0,NA,Mother,Mother,1,129,333,462,348,114,0.493506494
1012,S27,Bilingual,English,819,26,F,15,53.07,46.93,0,NA,NA,NA,1,418,106,524,435,89,0.339694656
1013,S183,Bilingual,English,791,26,M,18,73.1,26.9,0,NA,NA,NA,1,529,92,621,540,81,0.260869565
1014,S16,Trilingual,English,793,26,F,16,48.53,24.72,26.75,Spanish,NA,NA,1,379,195,574,433,141,0.491289199
1015,S28,Bilingual,French,753,24,F,15,34.17,65.84,0,NA,Mother,Mother,1,43,76,119,97,22,0.369747899
1016,S44,Bilingual,French,653,21,M,16,39.62,60.39,0,NA,NA,NA,1,63,75,138,103,35,0.507246377
1017,S125,Bilingual,English,642,21,F,18,73,27,0,NA,NA,NA,1,338,129,467,354,113,0.483940043
1018,S126,Bilingual,English,642,21,F,18,73,27,0,NA,NA,NA,1,339,128,467,355,112,0.479657388
1019,S07,Bilingual,French,674,22,F,12,26,74,0,NA,Mother_and_Father,Mother_and_Father,1,230,117,347,265,82,0.472622478
1020,S184,Bilingual,English,810,26,M,18,71,29,0,NA,NA,NA,1,90,224,314,254,60,0.382165605
1021,S45,Bilingual,English,638,20,M,16,68,32,0,NA,NA,NA,1,59,14,73,64,9,0.246575342
1022,S46,Bilingual,English,638,20,F,16,68,32,0,NA,NA,NA,1,66,31,97,82,15,0.309278351
1023,S47,Bilingual,French,820,26,M,16,26.78,73.23,0,NA,NA,NA,1,17,247,264,251,13,0.098484848
1024,S26,Trilingual,French,824,27,F,18,33.95,36.09,29.98,Spanish,NA,NA,1,152,3,155,155,0,0
1025,S127,Bilingual,French,657,21,F,18,50,50,0,NA,NA,NA,1,206,210,416,296,120,0.576923077
1026,S129,Bilingual,French,648,21,F,18,31.55,67.95,0,NA,NA,NA,1,25,254,279,257,22,0.157706093
1027,S130,Bilingual,English,632,20,F,18,61,39,0,NA,Mother,Mother,1,49,36,85,69,16,0.376470588
1028,S48,Bilingual,French,742,24,M,16,30,70,0,NA,Mother,Mother,1,49,69,118,100,18,0.305084746
1029,S49,Bilingual,English,639,21,M,16,61.53,38.48,0,NA,NA,NA,1,96,44,140,105,35,0.5
1030,S32,Trilingual,French,622,20,F,18,28.4,52.09,19.53,Arabic,NA,NA,1,19,45,64,55,9,0.28125
1031,S50,Bilingual,French,685,22,F,16,49,51,0,NA,Mother,Mother,1,351,312,663,439,224,0.67571644
1032,S206,Bilingual,French,631,20,M,21,41.58,58.43,0,NA,NA,NA,1,4,2,6,4,2,0.666666667
1032,S207,Bilingual,French,764,25,M,21,34.88,65.12,0,NA,Mother_and_Father,Mother_and_Father,2,45,56,101,84,17,0.336633663
1033,S131,Bilingual,English,818,26,M,18,74.7,25.3,0,NA,NA,NA,1,248,127,375,288,87,0.464
