iso_name,wordbank,childes,snowball,hunspell,hunspell source,espeak,espeak-ng
Danish,Danish,dan,danish,da_DK,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,da,da
English,English (American),eng,english,en_US,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,en-us,en-us
English,English (Australian),eng,english,en_AU,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,en,en
English,English (British),eng,english,en_GB,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,en,en
English,English (Irish),eng,english,en_GB,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,en,en
French,French (French),fra,french,fr_FR,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,fr,fr
French,French (Quebecois),fra,french,fr_FR,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,fr,fr
German,German,deu,german,de_DE,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,de,de
Italian,Italian,ita,italian,it_IT,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,it,it
Modern Greek,Greek (Cypriot),ell,greek,el_GR,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,el,el
Norwegian,Norwegian,nor,norwegian,no_NO,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,no,nb
Portuguese,Portuguese (European),por,portuguese,pt_PT,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,pt-pt,pt
Russian,Russian,rus,russian,ru_RU,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,ru,ru
Spanish,Spanish (European),spa,spanish,es_ES,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,es,es
Spanish,Spanish (Mexican),spa,spanish,es_MX,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,es-la,es-419
Swedish,Swedish,swe,swedish,sv_SE,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,sv,sv
Turkish,Turkish,tur,turkish,tr,https://github.com/titoBouzout/Dictionaries,tr,tr
Croatian,Croatian,hrv,,hr_HR,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,hr,hr
Czech,Czech,ces,,cs_CZ,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,cs,cs
Mandarin Chinese,Mandarin (Beijing),zho,no need,no need,,zh,cmn-Latn-pinyin
Mandarin Chinese,Mandarin (Taiwanese),zho,no need,no need,,zh,cmn-Latn-pinyin
Yue Chinese,Cantonese,yue,no need,no need,,zh-yue,yue
Hebrew,Hebrew,heb,,he_IL,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,,he
Korean,Korean,kor,,ko,https://github.com/spellcheck-ko/hunspell-dict-ko/releases,,ko
Catalan,,cat,catalan,ca_ES,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,ca,ca
Dutch,,nld,dutch,nl_NL,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,nl,nl
Hungarian,,hun,hungarian,hu_HU,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,hu,hu
Indonesian,,ind,indonesian,id_ID,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,id,id
Romanian,,ron,romanian,ro_RO,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,ro,ro
Tamil,,tam,tamil,ta,https://github.com/thamizha/thamizha-solthiruthi,ta,ta
